accel x(m/s^2),accel y(m/s^2),accel z(m/s^2),press (hPa),tempe (C)),altit (m),gyro x(m/s^2),gyro y(m/s^2),gyro z(m/s^2),
1021.91,0,0,1021.91,22.8,-71.85,0,0,2,360
1021.92,0,0,1021.92,22.8,-71.94,0,0,1,362
1021.88,0,0,1021.88,22.8,-71.61,0,0,1,363
1021.91,0,0,1021.91,22.8,-71.85,0,0,1,365
1021.87,0,0,1021.87,22.8,-71.52,0,0,1,367
1021.85,0,0,1021.85,22.7,-71.36,0,0,1,368
1021.91,0,0,1021.91,22.8,-71.85,0,0,1,370
1021.88,0,0,1021.88,22.8,-71.61,0,0,2,372
1021.83,0,0,1021.83,22.7,-71.19,0,0,2,373
1021.78,0,0,1021.78,22.7,-70.78,0,0,2,375
1021.89,0,0,1021.89,22.7,-71.69,0,0,1,377
1021.88,0,0,1021.88,22.7,-71.61,0,0,2,378
1021.87,0,0,1021.87,22.7,-71.52,0,0,1,380
1021.82,0,0,1021.82,22.7,-71.11,0,0,1,382
1021.9,0,0,1021.9,22.7,-71.77,0,0,1,383
1021.78,0,0,1021.78,22.7,-70.78,0,0,1,385
1021.81,0,0,1021.81,22.7,-71.03,0,0,1,387
1021.83,0,0,1021.83,22.7,-71.19,0,0,1,388
1021.83,0,0,1021.83,22.7,-71.19,0,0,1,390
1021.84,0,0,1021.84,22.7,-71.28,0,0,2,392
1021.84,0,0,1021.84,22.7,-71.28,0,0,1,393
1021.78,0,0,1021.78,22.7,-70.78,0,0,1,395
1021.87,0,0,1021.87,22.7,-71.52,0,0,2,397
1021.86,0,0,1021.86,22.7,-71.44,0,0,1,398
1021.83,0,0,1021.83,22.7,-71.19,0,0,1,400
1021.82,0,0,1021.82,22.7,-71.11,0,0,1,402
1021.8,0,0,1021.8,22.7,-70.95,0,0,1,403
1021.81,0,0,1021.81,22.7,-71.03,0,0,1,405
1021.72,0,0,1021.72,22.7,-70.28,0,0,1,407
1021.76,0,0,1021.76,22.7,-70.61,0,0,1,408
1021.8,0,0,1021.8,22.7,-70.95,0,0,2,410
1021.83,0,0,1021.83,22.7,-71.19,0,0,1,412
1021.76,0,0,1021.76,22.7,-70.61,0,0,1,413
1021.81,0,0,1021.81,22.7,-71.03,0,0,1,415
1021.8,0,0,1021.8,22.7,-70.95,0,0,1,417
1021.87,0,0,1021.87,22.7,-71.52,0,0,1,418
1021.84,0,0,1021.84,22.7,-71.28,0,0,1,420
1021.86,0,0,1021.86,22.7,-71.44,0,0,1,422
1021.83,0,0,1021.83,22.7,-71.19,0,0,1,423
1021.84,0,0,1021.84,22.7,-71.28,0,0,1,425
1021.83,0,0,1021.83,22.7,-71.19,0,0,1,427
1021.84,0,0,1021.84,22.7,-71.28,0,0,1,428
1021.86,0,0,1021.86,22.7,-71.44,0,0,1,430
1021.85,0,0,1021.85,22.7,-71.36,0,0,1,432
1021.87,0,0,1021.87,22.7,-71.52,0,0,1,433
1021.84,0,0,1021.84,22.7,-71.28,0,0,1,435
1021.81,0,0,1021.81,22.7,-71.03,0,0,1,437
1021.85,0,0,1021.85,22.7,-71.36,0,0,1,438
1021.85,0,0,1021.85,22.7,-71.36,0,0,1,440
1021.82,0,0,1021.82,22.7,-71.11,0,0,1,442
1021.83,0,0,1021.83,22.7,-71.19,0,0,1,443
1021.83,0,0,1021.83,22.7,-71.19,0,0,1,445
1021.78,0,0,1021.78,22.7,-70.78,0,0,1,447
1021.82,0,0,1021.82,22.7,-71.11,0,0,1,448
1021.79,0,0,1021.79,22.7,-70.86,0,0,1,450
1021.77,0,0,1021.77,22.7,-70.7,0,0,1,452
1021.82,0,0,1021.82,22.7,-71.11,0,0,1,453
1021.78,0,0,1021.78,22.7,-70.78,0,0,1,455
1021.75,0,0,1021.75,22.7,-70.53,0,0,1,457
1021.84,0,0,1021.84,22.7,-71.28,0,0,1,458
1021.8,0,0,1021.8,22.7,-70.95,0,0,2,460
1021.77,0,0,1021.77,22.7,-70.7,0,0,1,462
1021.79,0,0,1021.79,22.7,-70.86,0,0,1,463
1021.81,0,0,1021.81,22.7,-71.03,0,0,1,465
1021.79,0,0,1021.79,22.7,-70.86,0,0,1,467
1021.72,0,0,1021.72,22.7,-70.28,0,0,1,468
1021.82,0,0,1021.82,22.7,-71.11,0,0,1,470
1021.74,0,0,1021.74,22.7,-70.45,0,0,1,472
1021.78,0,0,1021.78,22.7,-70.78,0,0,1,473
1021.8,0,0,1021.8,22.7,-70.95,0,0,1,475
1021.76,0,0,1021.76,22.7,-70.61,0,0,1,477
1021.84,0,0,1021.84,22.7,-71.28,0,0,1,478
1021.82,0,0,1021.82,22.7,-71.11,2,0,1,480
1021.84,0,0,1021.84,22.7,-71.28,0,0,1,482
1021.79,0,0,1021.79,22.7,-70.86,0,0,1,483
1021.76,0,0,1021.76,22.7,-70.61,0,0,1,485
1021.79,0,0,1021.79,22.7,-70.86,0,0,1,487
1021.84,0,0,1021.84,22.7,-71.28,0,0,1,488
1021.84,0,0,1021.84,22.7,-71.28,0,0,1,490
1021.78,0,0,1021.78,22.7,-70.78,0,0,1,492
1021.8,0,0,1021.8,22.7,-70.95,0,0,1,493
1021.82,0,0,1021.82,22.7,-71.11,0,0,1,495
